Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
เฝอเนื้อ-เจอกันนครพนม-100g,10879,เฝอเนื้อ เจอกันนครพนม 100g,ของแห้งและเครื่องปรุง,,N,,,,,,,19.57,JC10879,,,Y,,ร้าน 99,,Y,30.00,216.000,75.000,150.000
เม็ดบัวnam-huy-40g,10622,เม็ดบัวnam huy 40g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,36.60,8938506010136,,,Y,,ร้าน ดวงทอง,0.00,Y,49.00,0.000,,50.000
เม็ดบัวอบกรอบ-300-g,10604,เม็ดบัวอบกรอบ 300 g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,152.32,JC10604,,,Y,,อัยย์อุ่นผล ไม้อบแห้ง,149.73,Y,229.00,16.000,,40.000
เม็ดบัวเวียดนาม500g-hat-sen-say,10035,เม็ดบัวเวียดนาม500g HAT SEN SAY,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,340.00,8936002400628,,,Y,,เสงี่ยม มุกดาหาร,0.00,Y,420.00,0.000,,12.000
เม็ดมะม่วงหิมพานต์อบเกลือ-กู๊ดดี๊-500g,10787,เม็ดมะม่วงหิมพานต์อบเกลือ กู๊ดดี๊ 500g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,221.36,8858150001642,,,Y,,บริษัท ซันฟู้ดส์ เทรดดิ้ง,,Y,269.00,0.000,,20.000
เม็ดมะม่วงเผา,10065,เม็ดมะม่วงเผาเวียดนาม 500g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,165.00,JC10065,,,Y,,อัยย์อุ่นผล ไม้อบแห้ง,0.00,Y,220.00,9.000,10.000,24.000
เมล็ดกาแฟ-chon-ban-me--1kg,10569,เมล็ดกาแฟ (Chon Ban Me)  1kg,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,396.51,8936079054250,,,Y,,แคน เซรามิก,0.00,Y,490.00,0.000,5.000,10.000
เมล็ดกาแฟ-chonban-me-500g,10178,เมล็ดกาแฟ (Chon Ban Me) 500g,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,198.26,JC10178,,,Y,,แคน เซรามิก,0.00,Y,250.00,0.000,12.000,24.000
เมล็ดกาแฟ-giacat-1000g,10455,เมล็ดกาแฟ (Giacat) 500g,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,191.45,JC10455,,,Y,,แคน เซรามิก,0.00,Y,250.00,10.000,6.000,12.000
เมล็ดกาแฟ-papakoff-500g,10217,เมล็ดกาแฟ Papakoff 500g,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,222.64,JC10217,,,Y,,บริษัท ดาวเรืองอิมพอร์ตเอ็กซ์พอร์ต(ไทยแลนด์) จำกัด,0.00,Y,249.00,44.000,0.000,0.000
